keyword,intent,board,priority,weekly_change,monthly_change,annual_change,content_angle,source
design de interiores de residências,casa,Design de interiores,1,600,10000,90,autoridade,pinterest_trends_screenshot
projeto de cozinha,cozinha,Cozinha elegante,1,70,300,50,projeto,pinterest_trends_screenshot
truques de casa,casa,Truques de casa,1,-10,80,300,dicas,pinterest_trends_screenshot
enfeites para o lar,casa,Achados para casa,1,10,70,-40,produto,pinterest_trends_screenshot
decoração hall de entrada,casa,Hall de entrada,1,0,60,-50,ambiente,pinterest_trends_screenshot
sala de estar apartamento,sala,Sala sofisticada,1,40,50,30,ambiente,pinterest_trends_screenshot
churrasqueira moderna,externa,Área externa e varanda,2,50,40,-40,ambiente,pinterest_trends_screenshot
paleta de cores para casa,casa,Paleta de cores para casa,1,60,20,50,estilo,pinterest_trends_screenshot
penteadeira,banheiro,Banheiro organizado,2,5,8,0,produto,pinterest_trends_screenshot
lavanderia,casa,Lavanderia organizada,2,1,0,-2,ambiente,pinterest_trends_screenshot
decoração sala,sala,Sala sofisticada,1,-7,-6,-40,ambiente,pinterest_trends_screenshot
lavanderia pequena,casa,Lavanderia organizada,2,-8,-5,-20,dor,pinterest_trends_screenshot
decoração cozinha,cozinha,Cozinha elegante,1,-20,30,40,ambiente,pinterest_trends_screenshot
prateleira,casa,Organização e prateleiras,1,0,7,30,produto,pinterest_trends_screenshot
escritório em casa,casa,Escritório em casa,1,-30,100,100,ambiente,pinterest_trends_screenshot
varanda,externa,Área externa e varanda,2,-2,-1,-1,ambiente,pinterest_trends_screenshot
cristaleira,casa,Achados para casa,2,-3,0,-10,produto,pinterest_trends_screenshot
prateleiras quarto,quarto,Quarto decorado,2,-7,-1,-20,produto,pinterest_trends_screenshot
sapateira,casa,Organização e prateleiras,2,20,-6,-20,produto,pinterest_trends_screenshot
tapete cozinha antiderrapante,cozinha,Tapetes para cozinha,1,,,,produto,shopify_top_sellers_30d
tapete de cozinha absorvente,cozinha,Tapetes para cozinha,1,,,,produto,shopify_top_sellers_30d
passadeira para cozinha,cozinha,Tapetes para cozinha,1,,,,produto,shopify_top_sellers_30d
tapete cozinha bege,cozinha,Tapetes para cozinha,1,,,,produto,shopify_top_sellers_30d
tapete cozinha preto,cozinha,Tapetes para cozinha,1,,,,produto,shopify_top_sellers_30d
tapete cozinha verde,cozinha,Tapetes para cozinha,2,,,,produto,shopify_top_sellers_30d
cozinha organizada,cozinha,Cozinha elegante,1,,,,ambiente,shopify_top_sellers_30d
cozinha pequena organizada,cozinha,Cozinha elegante,1,,,,dor,shopify_top_sellers_30d
cozinha decorada simples,cozinha,Cozinha elegante,1,,,,ambiente,shopify_top_sellers_30d
bandeja giratoria cozinha,cozinha,Cozinha elegante,1,,,,produto,shopify_top_sellers_30d
organizador cozinha bancada,cozinha,Cozinha elegante,1,,,,produto,shopify_top_sellers_30d
organizador redondo cozinha,cozinha,Cozinha elegante,2,,,,produto,shopify_top_sellers_30d
relogio digital de mesa,sala,Relogios de parede,1,,,,produto,shopify_top_sellers_30d
relogio de mesa led,quarto,Quarto decorado,1,,,,produto,shopify_top_sellers_30d
relogio despertador digital,quarto,Quarto decorado,1,,,,produto,shopify_top_sellers_30d
relogio de cabeceira,quarto,Quarto decorado,1,,,,produto,shopify_top_sellers_30d
relogio de parede grande,sala,Relogios de parede,1,,,,produto,shopify_top_sellers_30d
relogio de parede cozinha,cozinha,Relogios de parede,1,,,,produto,shopify_top_sellers_30d
relogio de parede sala,sala,Relogios de parede,1,,,,produto,shopify_top_sellers_30d
relogio de parede decorativo,sala,Decoracao de parede,1,,,,produto,shopify_top_sellers_30d
porta papel higienico de parede,banheiro,Banheiro organizado,1,,,,produto,shopify_top_sellers_30d
porta papel banheiro moderno,banheiro,Banheiro com cara de hotel,1,,,,produto,shopify_top_sellers_30d
banheiro pequeno organizado,banheiro,Banheiro organizado,1,,,,dor,shopify_top_sellers_30d
banheiro com cara de hotel,banheiro,Banheiro com cara de hotel,1,,,,ambiente,shopify_top_sellers_30d
porta shampoo banheiro box,banheiro,Banheiro organizado,1,,,,produto,shopify_top_sellers_30d
organizador box banheiro,banheiro,Banheiro organizado,1,,,,produto,shopify_top_sellers_30d
capa cadeira jantar,sala,Mesa posta elegante,1,,,,produto,shopify_top_sellers_30d
capa cadeira impermeavel,sala,Mesa posta elegante,1,,,,produto,shopify_top_sellers_30d
sala de jantar decorada,sala,Mesa posta elegante,1,,,,ambiente,shopify_top_sellers_30d
kit utensilios cozinha madeira,cozinha,Cozinha elegante,1,,,,produto,shopify_top_sellers_30d
utensilios de madeira cozinha,cozinha,Cozinha elegante,1,,,,produto,shopify_top_sellers_30d
cozinha com madeira,cozinha,Cozinha elegante,2,,,,estilo,shopify_top_sellers_30d
capa almofada sofa luxo,sala,Sala sofisticada,1,,,,produto,shopify_top_sellers_30d
almofada decorativa sofa,sala,Sala sofisticada,1,,,,produto,shopify_top_sellers_30d
sala sofisticada,sala,Sala sofisticada,1,,,,ambiente,shopify_top_sellers_30d
mochila notebook feminina,trabalho,Escritorio em casa,2,,,,produto,shopify_top_sellers_30d
mochila executiva feminina,trabalho,Escritorio em casa,2,,,,produto,shopify_top_sellers_30d
home office feminino,casa,Escritorio em casa,2,,,,ambiente,shopify_top_sellers_30d
tapete cozinha croche,cozinha,Tapetes para cozinha,2,,,,produto,pinterest_trends_manual_2026_06_21
tapete de croche cozinha,cozinha,Tapetes para cozinha,2,,,,produto,pinterest_trends_manual_2026_06_21
tapete de croche,casa,Tapetes para cozinha,3,,,,produto,pinterest_trends_manual_2026_06_21
decoracao apartamento,casa,Apartamento pequeno decorado,1,50,10,10,ambiente,pinterest_trends_manual_2026_06_21
area de servico,casa,Lavanderia organizada,1,2,10,-30,ambiente,pinterest_trends_manual_2026_06_21
papel de parede listrado,casa,Decoracao de parede,2,6,10,90,estilo,pinterest_trends_manual_2026_06_21
biombo,casa,Achados para casa,3,1,20,-8,produto,pinterest_trends_manual_2026_06_21
